商品编码,商品名称,SKUID,SKU属性,京东价,京东分类,品牌,链接,商品货号,商家SKU,库存,商品状态
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11052810152,花梨木节节高升型牙签筒,22,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052810152.html,"	","	",96,上架
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11052810153,酸枝木葫芦型牙签筒,32,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052810153.html,"	","	",99,上架
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11052810154,花梨木海盗酒桶型牙签筒,32,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052810154.html,"	","	",100,上架
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11052810155,花梨木将军帽型牙签筒,22,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052810155.html,"	","	",98,上架
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11052810156,花梨木圆型牙签筒,18,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052810156.html,"	","	",100,上架
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11052810157,花梨木葫芦型牙签筒,22,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052810157.html,"	","	",98,上架
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11052810158,花梨木雷峰塔型牙签筒,42,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052810158.html,"	","	",100,上架
10181624273,东起 花梨木线香盒木质熏香盒红木卧香炉沉香线香盒筷子盒香座,11052845360,印花镂空款,30,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052845360.html,"	","	",999,上架
10181624273,东起 花梨木线香盒木质熏香盒红木卧香炉沉香线香盒筷子盒香座,11052845361,双喜镂空款,28,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052845361.html,"	","	",980,上架
10181624273,东起 花梨木线香盒木质熏香盒红木卧香炉沉香线香盒筷子盒香座,11052845362,镂空款,28,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052845362.html,"	","	",996,上架
10181624273,东起 花梨木线香盒木质熏香盒红木卧香炉沉香线香盒筷子盒香座,11052845363,双喜印花镂空,32,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052845363.html,"	","	",998,上架
10181632620,东起 红木名片夹楠木名片手实木商务名片座创意办公摆件,11052878442,黑色楠木名片手,45,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052878442.html,"	","	",50,上架
10181632620,东起 红木名片夹楠木名片手实木商务名片座创意办公摆件,11052878443,红木楠木名片手+笔筒,70,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052878443.html,"	","	",0,上架
10181632620,东起 红木名片夹楠木名片手实木商务名片座创意办公摆件,11052878444,红木楠木名片手,30,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052878444.html,"	","	",49,上架
10181628597,东起 古典简约名片夹笔筒方形笔筒桌面笔桶收纳盒工具办公文具用品,11052909929,素面镂空,35,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052909929.html,"	","	",999,上架
10181628597,东起 古典简约名片夹笔筒方形笔筒桌面笔桶收纳盒工具办公文具用品,11052909930,梅兰竹菊款,32,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052909930.html,"	","	",997,上架
10181628597,东起 古典简约名片夹笔筒方形笔筒桌面笔桶收纳盒工具办公文具用品,11052909931,六角印花,45,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052909931.html,"	","	",1000,上架
10181628597,东起 古典简约名片夹笔筒方形笔筒桌面笔桶收纳盒工具办公文具用品,11052909932,四方素面款,30,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052909932.html,"	","	",990,上架
10181624273,东起 花梨木线香盒木质熏香盒红木卧香炉沉香线香盒筷子盒香座,11052981545,原木喜字镂空款,28,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052981545.html,"	","	",0,上架
10181624273,东起 花梨木线香盒木质熏香盒红木卧香炉沉香线香盒筷子盒香座,11052981546,原木印花镂空款,34,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052981546.html,"	","	",0,上架
10181624273,东起 花梨木线香盒木质熏香盒红木卧香炉沉香线香盒筷子盒香座,11052981547,原木镂空款,35,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11052981547.html,"	","	",0,上架
10187623347,东起 天然红土沉香线香  室内香佛香熏香 净化除味香味持久 办公居家礼佛安神香薰,11093472693,20g晨曦线香亚克力筒装,45,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/11093472693.html,"	","	",50,上架
